,d,K,norm,sigma,n,trial,loc_median,scale_iqr,skew_quantile,loc_mle,scale_mle,kappa_mle
21,2.0,-2.0,0.0,0.0625,16.0,1.0,-0.013443291187286377,0.14030998945236206,-0.8083772760620065,6.973591922159079e-09,0.07561925451205939,1.6336478129778969
22,2.0,-2.0,0.0,0.0625,16.0,2.0,-0.030773851089179516,0.2684614062309265,-0.770739105324448,2.4639497335717323e-08,0.14606680724057763,1.6925969794351805
23,2.0,-2.0,0.0,0.0625,16.0,3.0,-0.028523463755846024,0.21933487057685852,-0.7399094482256442,-1.489501082032691e-09,0.11952625709338367,1.6523816385005534
24,2.0,-2.0,0.0,0.0625,16.0,4.0,-0.02463245950639248,0.23446189984679222,-0.7898809186269631,1.1419075035334349e-08,0.13476813720690567,1.7201544616552957
25,2.0,-2.0,0.0,0.0625,16.0,5.0,-0.03038359433412552,0.23447374999523163,-0.7408358561694568,3.7307761276509696e-08,0.1333840725919555,1.609389911137206
26,2.0,-2.0,0.0,0.0625,16.0,6.0,-0.014868580270558596,0.25893324613571167,-0.8851551085659684,1.2784465980581783e-07,0.1263715142252348,1.6930185953215953
27,2.0,-2.0,0.0,0.0625,16.0,7.0,-0.01737130433320999,0.21800095960497856,-0.8406309369950747,1.2918216954442207e-08,0.11588281888377507,1.6820531581954825
28,2.0,-2.0,0.0,0.0625,16.0,8.0,-0.013526331633329391,0.16043215990066528,-0.831376307073289,8.976380253410582e-09,0.09497935718600345,1.6687294416892007
29,2.0,-2.0,0.0,0.0625,16.0,9.0,-0.033981144428253174,0.2554644048213959,-0.7339657205706558,2.4145446988573005e-08,0.14548375662534319,1.5954230206001383
30,2.0,-2.0,0.0,0.0625,32.0,0.0,-0.014692310709506273,0.15834508289117366,-0.7776433198076976,0.004568587280389082,0.08313299346688749,1.795028029899337
31,2.0,-2.0,0.0,0.0625,32.0,1.0,-0.022500906139612198,0.15945448423735797,-0.6779161745498528,7.289674628693273e-08,0.09053540605884189,1.6037445814789848
32,2.0,-2.0,0.0,0.0625,32.0,2.0,-0.03533705323934555,0.22982744255568832,-0.642444193619249,1.0084449338111939e-08,0.12156898901352703,1.5744543574387313
33,2.0,-2.0,0.0,0.0625,32.0,3.0,-0.031930286437273026,0.21818520670058206,-0.6745910246207837,1.2750852916718537e-07,0.11874219072226316,1.604848765814291
34,2.0,-2.0,0.0,0.0625,32.0,4.0,-0.022738835774362087,0.18521776160923764,-0.7151552520895383,0.005396082749374741,0.10113092965205384,1.7835913315515053
35,2.0,-2.0,0.0,0.0625,32.0,5.0,-0.022470534779131413,0.13163450581487268,-0.5935951354405843,1.3342105919002842e-07,0.07510344314325576,1.5686457918419618
36,2.0,-2.0,0.0,0.0625,32.0,6.0,-0.03498286381363869,0.1957836584188044,-0.5916090821567259,7.446178326997901e-08,0.1094672643223559,1.5961027375136239
37,2.0,-2.0,0.0,0.0625,32.0,7.0,-0.024622898548841476,0.15777123032603413,-0.6267600778226778,0.001456707193862639,0.09090288363186838,1.6621019833125776
38,2.0,-2.0,0.0,0.0625,32.0,8.0,-0.02638375386595726,0.19294007786083966,-0.6830684479658256,8.584954660221978e-06,0.10728791730859147,1.6255686774344036
39,2.0,-2.0,0.0,0.0625,32.0,9.0,-0.042211899533867836,0.21888064639642835,-0.5336730292040397,4.015104776134835e-08,0.12179386250967902,1.5595016237461872
40,2.0,-2.0,0.0,0.0625,64.0,0.0,-0.03665444254875183,0.18028541188687086,-0.46067698620105807,0.005721941196288227,0.09834047034831225,1.6250781657640587
41,2.0,-2.0,0.0,0.0625,64.0,1.0,-0.045459914952516556,0.20205776998773217,-0.3923029580140368,0.0035372430354195126,0.11037534848487876,1.5703748801072397
42,2.0,-2.0,0.0,0.0625,64.0,2.0,-0.041187431663274765,0.21059012110345066,-0.49440641090975374,0.004238498561797829,0.11373419687598076,1.6031425123335512
43,2.0,-2.0,0.0,0.0625,64.0,3.0,-0.042036086320877075,0.23347597988322377,-0.5445286330767584,0.007957590301991897,0.12470628696486097,1.6813133562713505
44,2.0,-2.0,0.0,0.0625,64.0,4.0,-0.03417808935046196,0.18389740772545338,-0.5250564501358256,0.003544314658802024,0.1004652641715044,1.6096114701712378
45,2.0,-2.0,0.0,0.0625,64.0,5.0,-0.03571723774075508,0.19848132180050015,-0.5566107434912145,0.002480995922307144,0.10802325234168822,1.6045862146741503
46,2.0,-2.0,0.0,0.0625,64.0,6.0,-0.033862899988889694,0.16919493372552097,-0.48134170837392243,0.0023355035197515908,0.09088586645325197,1.5745000778798182
47,2.0,-2.0,0.0,0.0625,64.0,7.0,-0.02580617554485798,0.1313734680879861,-0.4780727715731033,0.002067461332705892,0.07444256917356444,1.5783013117966553
48,2.0,-2.0,0.0,0.0625,64.0,8.0,-0.029366111382842064,0.16659641917794943,-0.5391030252908764,0.004497131872740933,0.09133129195094034,1.6288812387588099
49,2.0,-2.0,0.0,0.0625,64.0,9.0,-0.02966236975044012,0.14691492193378508,-0.46407570705992446,0.005459620626507027,0.08184716478199383,1.6451405001888069
50,2.0,-2.0,0.0,0.125,4.0,0.0,0.0,0.006524622440338135,-1.0,0.006525018890217541,0.001748240623910084,100.38035501315576
51,2.0,-2.0,0.0,0.125,4.0,1.0,0.0,0.08088205009698868,-1.0,1.5854897685235383e-08,0.046935630965721654,3.813574787371294
52,2.0,-2.0,0.0,0.125,4.0,2.0,0.0,0.2582768574357033,-1.0,4.326468908060362e-09,0.11353145275820174,2.17204657736571
53,2.0,-2.0,0.0,0.125,4.0,3.0,0.0,0.13954300433397293,-1.0,7.87475330668818e-09,0.07256593268550032,2.6208601523831105
54,2.0,-2.0,0.0,0.125,4.0,4.0,0.0,0.16254642605781555,-1.0,8.057148485311297e-09,0.07622009931804727,2.344961402438277
55,2.0,-2.0,0.0,0.125,4.0,5.0,0.0,0.04714593756943941,-1.0,1.2071152570030279e-08,0.06315094610326098,3.4545724750737756
56,2.0,-2.0,0.0,0.125,4.0,6.0,0.0,0.06806640140712261,-1.0,2.1369072476026165e-09,0.05016669928104882,2.7471272116164434
57,2.0,-2.0,0.0,0.125,4.0,7.0,0.0,0.13142909109592438,-1.0,2.2081273149498806e-08,0.07636239808978715,2.5238163757846714
58,2.0,-2.0,0.0,0.125,4.0,8.0,0.0,0.18541337177157402,-1.0,4.143704925599206e-09,0.11304305213074346,2.6683970163598043
59,2.0,-2.0,0.0,0.125,4.0,9.0,0.0,0.01562512293457985,-1.0,1.2715582981447989e-08,0.03261525747091438,3.9753897755212133
60,2.0,-2.0,0.0,0.125,8.0,0.0,0.0,0.1443159431219101,-1.0,2.6569776986786568e-08,0.11353830822069716,2.1295117441658116
61,2.0,-2.0,0.0,0.125,8.0,1.0,0.0,0.24278024211525917,-1.0,6.232400360037609e-09,0.11818311750289606,1.931317637678625
62,2.0,-2.0,0.0,0.125,8.0,2.0,0.0,0.17444553971290588,-1.0,1.3422331292708347e-08,0.09830338883623195,1.904845748266251
